# Region type : patch sphere
#      Faces  : 40
#      Area   : 6.276727658e-02
#           Time	areaAverage(p)	areaAverage(U)
        0.003675	1.013271128e+05	(-2.698963515e-20 0.000000000e+00 2.429067164e-19)
          0.0037	1.013269546e+05	(1.484429933e-19 0.000000000e+00 -1.349481758e-19)
        0.003725	1.013267966e+05	(5.397927031e-20 0.000000000e+00 -2.698963515e-20)
         0.00375	1.013266387e+05	(1.889274461e-19 0.000000000e+00 4.588237976e-19)
        0.003775	1.013264811e+05	(1.889274461e-19 0.000000000e+00 4.588237976e-19)
          0.0038	1.013263240e+05	(-4.723186152e-19 0.000000000e+00 2.698963515e-20)
        0.003825	1.013261672e+05	(0.000000000e+00 0.000000000e+00 2.698963515e-20)
         0.00385	1.013260108e+05	(4.048445273e-20 0.000000000e+00 -5.397927031e-20)
        0.003875	1.013258548e+05	(-2.968859867e-19 0.000000000e+00 1.079585406e-19)
          0.0039	1.013256991e+05	(-2.159170812e-19 0.000000000e+00 2.294118988e-19)
        0.003925	1.013255437e+05	(-2.698963515e-20 0.000000000e+00 -1.754326285e-19)
         0.00395	1.013253884e+05	(-1.079585406e-19 0.000000000e+00 -1.079585406e-19)
        0.003975	1.013252333e+05	(2.698963515e-20 0.000000000e+00 -2.698963515e-20)
           0.004	1.013250781e+05	(-6.747408788e-20 0.000000000e+00 -1.484429933e-19)
        0.004025	1.013249229e+05	(-1.619378109e-19 0.000000000e+00 -2.564015340e-19)
         0.00405	1.013247676e+05	(1.349481758e-20 0.000000000e+00 -2.024222636e-19)
        0.004075	1.013246121e+05	(-5.397927031e-20 0.000000000e+00 -4.453289800e-19)
          0.0041	1.013244565e+05	(-2.429067164e-19 0.000000000e+00 2.698963515e-20)
        0.004125	1.013243006e+05	(1.349481758e-20 0.000000000e+00 -2.698963515e-20)
         0.00415	1.013241445e+05	(-2.833911691e-19 0.000000000e+00 2.698963515e-19)
        0.004175	1.013239882e+05	(-1.214533582e-19 0.000000000e+00 -8.096890546e-20)
          0.0042	1.013238316e+05	(-2.024222636e-19 0.000000000e+00 -1.349481758e-20)
        0.004225	1.013236749e+05	(1.349481758e-20 0.000000000e+00 -1.349481758e-20)
